project_id,department_id,project_name,budget,start_date,end_date,status
1,119,monetize bricks-and-clicks web-readiness,278502,2025-01-28,2026-01-28,cancelled
2,17,matrix virtual experiences,795750,2023-03-18,2026-02-14,in progress
3,26,benchmark compelling paradigms,525219,2023-08-21,2025-05-26,cancelled
4,156,enhance user-centric channels,525696,2025-02-26,2026-01-26,in progress
5,124,revolutionize compelling e-services,885188,2023-11-18,2025-07-21,completed
6,124,deliver killer partnerships,478001,2024-10-22,2025-11-06,in progress
7,140,deliver e-business interfaces,229533,2024-08-11,2026-02-23,cancelled
8,53,grow magnetic niches,415180,2023-09-30,2025-09-20,cancelled
9,88,streamline magnetic web services,971136,2024-10-07,2025-05-21,cancelled
10,178,harness global niches,182827,2024-12-19,2025-05-02,in progress
11,52,aggregate synergistic metrics,401160,2025-02-14,2025-06-29,in progress
12,174,incubate impactful info-mediaries,571854,2024-03-22,2025-12-27,completed
13,126,matrix killer architectures,532269,2024-05-19,2025-04-11,completed
14,107,reinvent open-source deliverables,927518,2023-03-24,2025-08-20,completed
15,148,seize robust architectures,593572,2023-05-01,2025-12-06,in progress
16,103,harness sticky functionalities,79129,2023-06-11,2025-03-14,in progress
17,51,grow bleeding-edge relationships,222807,2024-11-27,2025-06-22,cancelled
18,7,utilize next-generation content,821701,2024-06-08,2025-06-17,in progress
19,138,expedite bricks-and-clicks synergies,612835,2023-03-15,2025-10-31,in progress
20,199,envisioneer holistic e-tailers,30495,2025-01-07,2025-09-08,cancelled
21,187,deliver next-generation e-markets,48277,2023-10-30,2025-06-04,completed
22,12,enable enterprise e-markets,127638,2025-01-29,2025-12-11,completed
23,108,synergize B2B web-readiness,199874,2023-07-05,2025-10-09,in progress
24,94,synergize virtual convergence,18305,2023-12-10,2025-09-01,cancelled
25,117,leverage real-time deliverables,66156,2025-01-16,2025-06-29,cancelled
26,1,maximize clicks-and-mortar info-mediaries,704950,2023-03-17,2026-02-12,in progress
27,33,whiteboard plug-and-play ROI,618122,2024-11-30,2025-07-31,cancelled
