organization_id,organization_name,industry,country,founded_year,employees,annual_revenue
1,Martinez and Sons,Healthcare,Chad,1983,3005,382562114
2,Martinez-Matthews,Technology,Bolivia,2009,2456,1088745
3,"Cooper, Watson and Holmes",Healthcare,Malta,1997,1684,136342873
4,Robinson LLC,Education,Costa Rica,2016,2154,444675532
5,Mcpherson-Williams,Technology,Botswana,2004,3195,151341388
6,"Anderson, Ponce and Mclaughlin",Retail,Chile,2008,4747,232799255
7,Reynolds PLC,Technology,Philippines,1995,778,478128241
8,Frost-Meyers,Finance,Equatorial Guinea,1998,4832,113233515
9,Ford-Williams,Technology,Bangladesh,2002,4771,203224529
10,Gomez-Curtis,Retail,Turkmenistan,2015,101,434807462
11,"Dyer, Jackson and Gonzalez",Finance,Djibouti,2011,666,193823540
12,"Gordon, Cortez and Duncan",Retail,Cape Verde,1981,3082,65647449
13,Cohen PLC,Finance,Gambia,2007,4036,222064080
14,Henderson-Bonilla,Finance,Greenland,1999,1356,73277112
15,Lewis-Ramos,Education,Kuwait,2019,1277,498853522
16,Cooper-Stevenson,Healthcare,Vietnam,1995,1993,285842213
17,"Martinez, Nelson and Rivera",Technology,Congo,1981,2613,51505189
18,Robinson Ltd,Finance,Guernsey,1996,4188,313623509
19,Bass PLC,Education,French Guiana,2015,2032,128369422
20,"Foster, Robinson and Parker",Technology,Myanmar,2001,581,357102597
21,Ortiz PLC,Finance,Djibouti,1988,4323,318947640
22,Duncan-Carpenter,Retail,Jamaica,2004,473,467958258
23,Taylor and Sons,Finance,Cocos (Keeling) Islands,2008,3528,83906470
24,"Hamilton, Stone and Briggs",Finance,Poland,1985,3744,400803085
25,"Randolph, Lewis and Mccarty",Education,Faroe Islands,2012,2556,308389468
26,Wright-Maxwell,Healthcare,Sweden,2007,1704,88445222
27,Carter Ltd,Technology,Brazil,2005,1804,447284041
28,"Melendez, Allison and Wilkerson",Technology,Norway,1995,699,288802703
29,Johnson-Williams,Healthcare,French Polynesia,2009,3657,453741684
30,"Miranda, Davis and Garrison",Technology,United Arab Emirates,1981,616,34975723
31,Mckay-Perez,Education,Kazakhstan,2021,2594,92409864
32,"Webb, Kennedy and Ross",Retail,Estonia,1993,3698,368147510
33,"Hughes, Heath and Pearson",Technology,Iraq,2005,1946,363326052
34,Nguyen Group,Healthcare,Bolivia,2018,2520,149569800
35,Spencer and Sons,Education,Poland,1997,3203,98410750
36,Rodriguez-Miller,Technology,Bangladesh,2015,1551,98096396
37,Jones-Boone,Finance,Lesotho,1998,4744,84839296
38,Gilbert Group,Technology,Belarus,2001,1746,141538922
39,"Patterson, Roach and Lee",Technology,Heard Island and McDonald Islands,1996,772,414185725
40,Gibbs Group,Finance,Saint Pierre and Miquelon,1990,620,454902293
41,Gray-Perry,Healthcare,United States Minor Outlying Islands,2003,3087,16241222
42,"Johnson, Vang and Hood",Finance,Central African Republic,2023,2313,69413846
43,"Shaw, Kelley and Green",Retail,Togo,1983,3725,194594054
44,Norris-Hammond,Education,Gambia,1996,608,12120590
45,"Holmes, Wood and Riley",Education,Belarus,1998,2340,174573076
46,"Wright, Wagner and Fritz",Finance,Kazakhstan,1990,4876,393845690
47,"Dillon, Schultz and Green",Healthcare,Burkina Faso,2003,322,62069611
48,Sanford Ltd,Education,United States Minor Outlying Islands,1988,194,367349221
49,"Thompson, White and Jones",Finance,Namibia,1997,2783,414880419
50,Ortiz Group,Technology,Christmas Island,1983,2085,378970914
